CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
11,IT00216,20190529,10,2210,2340,MEL,EGAS,S,13,179
11,5J00097,20190529,25,2225,2355,YNT,EGAS,S,13,150
12,D700371,20190529,100,2300,30,FCO,TIAS,S,10,118
5,TR00875,20190529,100,2300,30,SJW,TIAS,M,11,203
4,SL00395,20190529,125,2325,55,CKG,EGAS,S,16,136
10,TR00897,20190529,125,2325,55,KIJ,EGAS,S,16,86.4
1,Z200129,20190529,135,2335,105,SHE,EGAS,S,13,141
9,7C02678,20190529,140,2340,110,REP,EGAS,S,20,176
1,7C02686,20190529,200,0,130,FOC,EGAS,S,19,7
8,GK00012,20190529,200,0,130,TAE,EGAS,M,19,224
5,5J00311,20190529,205,5,135,WUH,TIAS,M,9,275.6
9,JW00100,20190529,210,10,140,DEL,EGAS,S,20,103
1,TW00664,20190529,210,10,140,SJW,TIAS,S,10,180
9,7C02654,20190529,300,100,230,NNG,TIAS,S,8,149
7,FD00243,20190529,300,100,230,MEL,TIAS,M,8,252
12,JW00172,20190529,500,300,430,LGW,EGAS,M,17,214.4
10,CX00445,20190529,600,400,530,CGQ,TIAS,M,5,267
5,CX00463,20190529,600,400,530,SZX,EGAS,S,16,189.6
2,CX00485,20190529,600,400,530,CZX,EGAS,S,20,165
7,KA00485,20190529,600,400,530,CSX,EGAS,M,13,240
9,MM00026,20190529,600,400,530,OKA,TIAS,S,5,135
7,MM00030,20190529,600,400,530,PNH,TIAS,M,10,282
4,MM00922,20190529,600,400,530,HSG,EGAS,S,18,156
4,TG00637,20190529,600,400,530,OKJ,EGAS,M,13,225
1,TR00877,20190529,600,400,530,CGO,EGAS,S,20,165
1,XW00141,20190529,600,400,530,YNZ,TIAS,L,8,356
6,XW00142,20190529,600,400,530,YNT,TIAS,M,6,213
2,VJ00841,20190529,625,425,555,MEL,EGAS,S,21,53
7,IT00200,20190529,635,435,555,CEB,EGAS,S,19,143
2,IT00210,20190529,635,435,555,YIW,EGAS,M,13,278
10,IT00301,20190529,635,435,605,KKJ,TIAS,S,9,119
9,JW00180,20190529,635,435,605,DAD,TIAS,S,7,145
10,TR00898,20190529,640,440,610,CEB,EGAS,S,16,116.8
1,IT00236,20190529,645,445,615,JFK,TIAS,S,11,159
12,IT00240,20190529,645,445,615,CEB,EGAS,S,21,184
6,3K00723,20190529,700,500,630,VIE,EGAS,S,18,127
3,CI00833,20190529,700,500,630,CGO,EGAS,S,20,32
1,CI07915,20190529,700,500,630,FUK,EGAS,S,19,93
5,CX00465,20190529,700,500,630,CNX,EGAS,S,19,107
3,IT00654,20190529,705,505,635,OKA,TIAS,M,6,282
9,CI00188,20190529,715,515,645,DXB,EGAS,M,24,245
8,CI00601,20190529,715,515,645,NGO,EGAS,M,13,262
3,CI00781,20190529,720,520,650,TAK,TIAS,M,11,274
5,VN00579,20190529,725,525,655,MNL,EGAS,S,13,163
2,CI00861,20190529,735,535,705,LAX,EGAS,M,17,290
4,VN00571,20190529,735,535,705,HFE,TIAS,S,7,196
9,CI00160,20190529,750,550,720,HGH,EGAS,S,20,118
2,CI00903,20190529,800,600,730,HND,EGAS,S,16,141.6
9,MH00069,20190529,800,600,730,FCO,EGAS,M,17,251
1,FE00301,20190529,810,610,740,ICN,EGAS,S,16,129.6
5,CI00753,20190529,820,620,750,FUK,EGAS,S,18,187
12,CX00407,20190529,820,620,750,SHE,EGAS,S,18,140
5,CI00791,20190529,825,625,755,AMS,EGAS,S,18,133
7,FE00622,20190529,825,625,755,KMG,TIAS,S,10,122
3,IT00303,20190529,830,630,800,TOY,EGAS,M,16,261
4,IT00206,20190529,845,645,815,IBR,TIAS,S,21,143
