CAROUSEL_NO,FLIGHT_NO,FDATE,STD,EOT,ECT,DESTINATION,GROUND,FLIGHT_SIZE,COUNTER_NO,PREDICT_NO
1,XX00008,20191203,0655,0455,0625,ICN,TIAS,S,10,194.4
1,XX00013,20191203,0740,0540,0710,SYD,TIAS,L,9,426.8
1,XX00018,20191203,0810,0610,0740,CTU,TIAS,S,9,89.8
1,XX00029,20191203,0845,0645,0815,PNH,TIAS,M,1,237.4
1,XX00041,20191203,0930,0730,0900,CTS,TIAS,M,3,270.6
1,XX00051,20191203,1020,0820,0950,NRT,TIAS,S,8,189
1,XX00055,20191203,1115,0915,1045,NGB,TIAS,S,10,139
1,XX00063,20191203,1155,0955,1125,TNA,TIAS,S,4,125
1,XX00084,20191203,1410,1210,1340,SIN,TIAS,M,9,251
1,XX00088,20191203,1435,1235,1405,CAN,TIAS,M,8,268
1,XX00091,20191203,1445,1245,1415,MFM,TIAS,S,6,111.2
1,XX00102,20191203,1605,1405,1535,WUX,TIAS,L,2,301.8
1,XX00116,20191203,1710,1510,1640,SFO,TIAS,L,9,532.8
1,XX00125,20191203,1725,1525,1655,NKG,TIAS,S,10,173
1,XX00126,20191203,1730,1530,1700,JFK,TIAS,L,3,604.8
1,XX00149,20191203,1950,1750,1920,SFO,TIAS,L,6,676.8
1,XX00154,20191203,2020,1820,1950,SJW,TIAS,S,2,0
1,XX00158,20191203,2110,1910,2040,BKK,TIAS,L,6,331.6
1,XX00159,20191203,2150,1950,2120,HKG,TIAS,S,6,150.6
1,XX00167,20191203,2340,2140,2310,SFO,TIAS,L,11,612
10,XX00010,20191203,0710,0510,0640,CEB,TIAS,M,3,248.2
10,XX00015,20191203,0800,0600,0730,HKG,TIAS,M,7,214.4
10,XX00022,20191203,0815,0615,0745,OKA,TIAS,M,1,201
10,XX00024,20191203,0815,0615,0745,NGO,TIAS,S,1,159
10,XX00046,20191203,1000,0800,0930,NRT,TIAS,M,7,251
10,XX00056,20191203,1120,0920,1050,LAX,TIAS,L,6,543.6
10,XX00059,20191203,1130,0930,1100,SFO,TIAS,L,6,590.4
10,XX00062,20191203,1155,0955,1125,HKG,TIAS,M,7,217.6
10,XX00072,20191203,1230,1030,1200,HRB,TIAS,S,8,107
10,XX00081,20191203,1325,1125,1255,CGO,TIAS,S,5,197.6
10,XX00097,20191203,1520,1320,1450,SZX,TIAS,L,3,307.8
10,XX00105,20191203,1625,1425,1555,HGH,TIAS,M,8,228.6
10,XX00120,20191203,1720,1520,1650,OKA,TIAS,S,1,190
10,XX00128,20191203,1730,1530,1700,HKG,TIAS,M,7,216.8
10,XX00136,20191203,1800,1600,1730,YVR,TIAS,S,2,0
10,XX00138,20191203,1820,1620,1750,TXN,TIAS,S,8,133
10,XX00150,20191203,1950,1750,1920,YNT,TIAS,S,4,125
10,XX00164,20191203,2330,2130,2300,SYD,TIAS,L,8,462.4
11,XX00176,20191203,0310,0110,0240,PUS,TIAS,M,1,219
11,XX00031,20191203,0850,0650,0820,BKK,TIAS,L,9,385.4
11,XX00054,20191203,1105,0905,1035,HKD,TIAS,S,8,138
11,XX00065,20191203,1200,1000,1130,HFE,TIAS,S,10,139
11,XX00077,20191203,1300,1100,1230,ICN,TIAS,S,9,0
11,XX00110,20191203,1635,1435,1605,ICN,TIAS,M,9,250
11,XX00129,20191203,1735,1535,1705,SIN,TIAS,M,7,249
11,XX00130,20191203,1735,1535,1705,SZX,TIAS,S,6,109
11,XX00131,20191203,1740,1540,1710,KIX,TIAS,S,6,132.2
11,XX00132,20191203,1745,1545,1715,WNZ,TIAS,S,11,124
11,XX00137,20191203,1810,1610,1740,HKG,TIAS,M,6,268.2
11,XX00147,20191203,1940,1740,1910,PEK,TIAS,S,2,140
11,XX00163,20191203,2330,2130,2300,SFO,TIAS,L,6,660.6
11,XX00173,20191203,2355,2155,2325,YVR,TIAS,L,10,464.4
12,XX00007,20191203,0655,0455,0625,OKA,TIAS,S,6,176
12,XX00012,20191203,0735,0535,0705,BKK,TIAS,L,10,539
12,XX00017,20191203,0810,0610,0740,CAN,TIAS,S,10,198.2
12,XX00028,20191203,0840,0640,0810,XMN,TIAS,M,6,295.4
12,XX00035,20191203,0900,0700,0830,CGK,TIAS,L,1,340.8
12,XX00037,20191203,0910,0710,0840,MNL,TIAS,L,10,580.6
12,XX00045,20191203,1000,0800,0930,DPS,TIAS,S,2,192.4
12,XX00047,20191203,1005,0805,0935,PVG,TIAS,L,7,333.2
12,XX00053,20191203,1055,0855,1025,PVG,TIAS,M,1,252
12,XX00060,20191203,1135,0935,1105,SFO,TIAS,L,9,644.4
12,XX00074,20191203,1240,1040,1210,HKG,TIAS,S,6,141.2
